registerno,department,semester
922523244001,Computer Science and Business Systems  ,Semester 3
922523244002,Computer Science and Business Systems  ,Semester 3
922523244003,Computer Science and Business Systems  ,Semester 3
922523244004,Computer Science and Business Systems  ,Semester 3
922523244005,Computer Science and Business Systems  ,Semester 3
922523244006,Computer Science and Business Systems  ,Semester 3
922523244007,Computer Science and Business Systems  ,Semester 3
922523244008,Computer Science and Business Systems  ,Semester 3
922523244009,Computer Science and Business Systems  ,Semester 3
922523244010,Computer Science and Business Systems  ,Semester 3
922523244011,Computer Science and Business Systems  ,Semester 3
922523244012,Computer Science and Business Systems  ,Semester 3
922523244013,Computer Science and Business Systems  ,Semester 3
922523244014,Computer Science and Business Systems  ,Semester 3
922523244015,Computer Science and Business Systems  ,Semester 3
922523244016,Computer Science and Business Systems  ,Semester 3
922523244017,Computer Science and Business Systems  ,Semester 3
922523244018,Computer Science and Business Systems  ,Semester 3
922523244019,Computer Science and Business Systems  ,Semester 3
922523244020,Computer Science and Business Systems  ,Semester 3
922523244021,Computer Science and Business Systems  ,Semester 3
922523244022,Computer Science and Business Systems  ,Semester 3
922523244023,Computer Science and Business Systems  ,Semester 3
922523244024,Computer Science and Business Systems  ,Semester 3
922523244025,Computer Science and Business Systems  ,Semester 3
922523244026,Computer Science and Business Systems  ,Semester 3
922523244027,Computer Science and Business Systems  ,Semester 3
922523244028,Computer Science and Business Systems  ,Semester 3
922523244029,Computer Science and Business Systems  ,Semester 3
922523244030,Computer Science and Business Systems  ,Semester 3
922523244031,Computer Science and Business Systems  ,Semester 3
922523244032,Computer Science and Business Systems  ,Semester 3
922523244033,Computer Science and Business Systems  ,Semester 3
922523244034,Computer Science and Business Systems  ,Semester 3
922523244035,Computer Science and Business Systems  ,Semester 3
922523244036,Computer Science and Business Systems  ,Semester 3
922523244037,Computer Science and Business Systems  ,Semester 3
922523244038,Computer Science and Business Systems  ,Semester 3
922523244039,Computer Science and Business Systems  ,Semester 3
922523244040,Computer Science and Business Systems  ,Semester 3
922523244041,Computer Science and Business Systems  ,Semester 3
922523244042,Computer Science and Business Systems  ,Semester 3
922523244043,Computer Science and Business Systems  ,Semester 3
922523244044,Computer Science and Business Systems  ,Semester 3
922523244045,Computer Science and Business Systems  ,Semester 3
922523244046,Computer Science and Business Systems  ,Semester 3
922523244047,Computer Science and Business Systems  ,Semester 3
922523244048,Computer Science and Business Systems  ,Semester 3
922523244049,Computer Science and Business Systems  ,Semester 3
922523244050,Computer Science and Business Systems  ,Semester 3
922523244051,Computer Science and Business Systems  ,Semester 3
922523244052,Computer Science and Business Systems  ,Semester 3
922523244053,Computer Science and Business Systems  ,Semester 3
922523244054,Computer Science and Business Systems  ,Semester 3
922523244055,Computer Science and Business Systems  ,Semester 3
922523244056,Computer Science and Business Systems  ,Semester 3
922523244057,Computer Science and Business Systems  ,Semester 3
922523244058,Computer Science and Business Systems  ,Semester 3
922523244059,Computer Science and Business Systems  ,Semester 3
922523244060,Computer Science and Business Systems  ,Semester 3
922523244061,Computer Science and Business Systems  ,Semester 3
922523244062,Computer Science and Business Systems  ,Semester 3
922523244063,Computer Science and Business Systems  ,Semester 3
922523244064,Computer Science and Business Systems  ,Semester 3
922523244065,Computer Science and Business Systems  ,Semester 3
922523244066,Computer Science and Business Systems  ,Semester 3
922523244067,Computer Science and Business Systems  ,Semester 3
922523244068,Computer Science and Business Systems  ,Semester 3
922523244069,Computer Science and Business Systems  ,Semester 3
922523244070,Computer Science and Business Systems  ,Semester 3
922523244071,Computer Science and Business Systems  ,Semester 3
922523244072,Computer Science and Business Systems  ,Semester 3
922523244073,Computer Science and Business Systems  ,Semester 3
922523244074,Computer Science and Business Systems  ,Semester 3
922523244075,Computer Science and Business Systems  ,Semester 3
922523244076,Computer Science and Business Systems  ,Semester 3
922523244077,Computer Science and Business Systems  ,Semester 3
922523244078,Computer Science and Business Systems  ,Semester 3
922523244079,Computer Science and Business Systems  ,Semester 3
922523244080,Computer Science and Business Systems  ,Semester 3
922523244081,Computer Science and Business Systems  ,Semester 3
922523244082,Computer Science and Business Systems  ,Semester 3
922523244083,Computer Science and Business Systems  ,Semester 3
922523244084,Computer Science and Business Systems  ,Semester 3
922523244085,Computer Science and Business Systems  ,Semester 3
922523244086,Computer Science and Business Systems  ,Semester 3
922523244087,Computer Science and Business Systems  ,Semester 3
922523244088,Computer Science and Business Systems  ,Semester 3
922523244089,Computer Science and Business Systems  ,Semester 3
922523244090,Computer Science and Business Systems  ,Semester 3
922523244091,Computer Science and Business Systems  ,Semester 3
922523244092,Computer Science and Business Systems  ,Semester 3
922523244093,Computer Science and Business Systems  ,Semester 3
922523244094,Computer Science and Business Systems  ,Semester 3
922523244095,Computer Science and Business Systems  ,Semester 3
922523244096,Computer Science and Business Systems  ,Semester 3
922523244097,Computer Science and Business Systems  ,Semester 3
922523244098,Computer Science and Business Systems  ,Semester 3
922523244099,Computer Science and Business Systems  ,Semester 3
922523244100,Computer Science and Business Systems  ,Semester 3
